lsm,enb_PCI,900M_max_prb,1.8G_max_prb,1.8H_max_prb,1.8E_max_prb,2.1E_max_prb,2.1G_max_prb,fa,900M_rrc_rate,1.8G_rrc_rate,1.8H_rrc_rate,1.8E_rrc_rate,2.1E_rrc_rate,2.1G_rrc_rate,type_MCMC,ru,RS_POWER,count
LSM7,SEC0007124_188,87.1,50.8,0.0,0.0,0.0,0.0,2,38%,62%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,7
LSM7,SEC0007125_322,86.3,50.5,0.0,0.0,0.0,0.0,2,21%,79%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,1
LSM7,SEC0007128_147,70.8,38.1,32.2,0.0,0.0,0.0,3,20%,49%,31%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM7,SEC0007129_371,82.3,81.0,78.5,0.0,0.0,0.0,3,21%,51%,28%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,2
LSM7,SEC0007132_5,79.6,58.3,57.9,0.0,0.0,0.0,3,21%,48%,31%,0%,0%,0%,MCMC,2,ci_pwrOpt_OneHalf,1
LSM6,SEC0007141_15,70.6,83.2,0.0,0.0,0.0,0.0,2,17%,83%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM6,SEC0007143_323,74.9,60.6,47.5,0.0,0.0,0.0,3,18%,49%,33%,0%,0%,0%,MCCC,3,ci_pwrOpt_Same,1
LSM6,SEC0007143_376,77.7,52.7,0.0,0.0,0.0,0.0,2,31%,69%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM6,SEC0007144_440,70.4,66.7,0.0,0.0,0.0,0.0,2,24%,76%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM6,SEC0007144_46,72.1,67.4,0.0,0.0,0.0,0.0,2,24%,76%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM6,SEC0007144_65,91.7,13.6,0.0,0.0,0.0,0.0,2,90%,10%,0%,0%,0%,0%,MCMC,3,ci_pwrOpt_Half,2
LSM6,SEC0007146_350,91.7,92.2,0.0,0.0,0.0,0.0,2,21%,79%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,8
LSM6,SEC0007146_409,74.1,75.2,0.0,0.0,0.0,0.0,2,33%,67%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM6,SEC0007147_220,77.6,47.6,0.0,0.0,0.0,0.0,2,43%,57%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM6,SEC0007147_338,78.3,65.9,0.0,0.0,0.0,0.0,2,27%,73%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,3
LSM6,SEC0007149_364,76.8,61.8,53.5,0.0,0.0,0.0,3,16%,53%,30%,0%,0%,0%,MCMC,3,ci_pwrOpt_Same,3
LSM4,SEC0007151_407,81.8,75.4,60.1,0.0,0.0,0.0,3,17%,52%,32%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM4,SEC0007158_426,90.9,61.1,73.0,0.0,0.0,0.0,3,20%,55%,25%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM4,SEC0007159_167,77.2,77.3,0.0,0.0,24.5,0.0,3,20%,49%,0%,0%,31%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM4,SEC0007161_358,74.0,59.7,66.1,0.0,0.0,0.0,3,18%,46%,35%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM4,SEC0007162_126,75.9,74.6,0.0,0.0,0.0,0.0,2,20%,80%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,1
LSM4,SEC0007162_309,72.7,87.2,92.4,0.0,0.0,0.0,3,20%,45%,35%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM4,SEC0007162_346,91.0,56.3,53.0,0.0,0.0,0.0,3,19%,52%,30%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM4,SEC0007165_376,76.8,71.3,57.4,0.0,0.0,0.0,3,19%,50%,31%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM4,SEC0007167_156,78.8,78.1,0.0,0.0,0.0,0.0,2,19%,81%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM4,SEC0007173_424,78.1,66.3,0.0,0.0,66.7,0.0,3,17%,44%,0%,0%,38%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM4,SEC0007173_54,71.3,71.1,0.0,0.0,61.3,0.0,3,18%,56%,0%,0%,26%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM4,SEC0007174_113,78.8,83.3,0.0,0.0,0.0,0.0,2,22%,78%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM4,SEC0007174_432,86.0,76.6,84.3,0.0,0.0,0.0,3,21%,43%,36%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM4,SEC0007174_80,83.7,90.3,82.0,0.0,0.0,0.0,3,20%,51%,29%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,4
LSM4,SEC0007175_269,89.3,86.7,67.0,0.0,0.0,0.0,3,28%,46%,26%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM4,SEC0007175_355,73.6,72.9,65.6,0.0,0.0,0.0,3,20%,48%,31%,0%,0%,0%,MCMC,3,ci_pwrOpt_Same,2
LSM4,SEC0007177_306,73.7,62.9,63.1,0.0,0.0,0.0,3,21%,46%,33%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM4,SEC0007178_222,79.6,70.3,0.0,0.0,0.0,0.0,2,20%,80%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM4,SEC0007180_80,74.2,70.5,0.0,0.0,0.0,0.0,2,24%,76%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM4,SEC0007181_79,73.9,57.6,0.0,0.0,0.0,0.0,2,20%,80%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM4,SEC0007182_157,74.3,84.5,0.0,0.0,0.0,0.0,2,22%,78%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM4,SEC0007182_171,72.1,38.3,32.9,0.0,0.0,0.0,3,23%,47%,29%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM4,SEC0007182_351,95.0,89.9,96.0,0.0,0.0,0.0,3,17%,37%,46%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM4,SEC0007184_84,84.9,78.0,0.0,0.0,75.5,0.0,3,19%,52%,0%,0%,29%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM4,SEC0007185_119,71.7,67.4,0.0,0.0,0.0,0.0,2,19%,81%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM4,SEC0007185_18,79.2,56.4,49.4,0.0,0.0,0.0,3,20%,49%,32%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM4,SEC0007186_429,80.0,74.8,70.1,0.0,0.0,0.0,3,17%,48%,35%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM4,SEC0007187_131,76.3,73.8,0.0,0.0,0.0,0.0,2,23%,77%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM4,SEC0007187_55,90.4,73.9,69.7,0.0,0.0,0.0,3,18%,50%,31%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,4
LSM4,SEC0007188_239,70.5,52.1,0.0,0.0,45.3,0.0,3,23%,47%,0%,0%,30%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM4,SEC0007189_15,70.0,60.4,0.0,0.0,0.0,0.0,2,21%,79%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM4,SEC0007190_164,75.7,57.6,0.0,0.0,48.5,0.0,3,21%,46%,0%,0%,33%,0%,MCMC,3,ci_pwrOpt_Same,2
LSM4,SEC0007190_364,79.5,88.1,0.0,0.0,75.2,0.0,3,17%,46%,0%,0%,37%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM4,SEC0007190_91,74.6,57.5,0.0,0.0,0.0,0.0,2,34%,66%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM4,SEC0007196_357,77.0,77.9,76.5,0.0,0.0,0.0,3,18%,55%,27%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM4,SEC0007198_330,75.9,72.7,72.0,0.0,0.0,0.0,3,19%,50%,31%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM4,SEC0007199_33,85.8,80.9,81.0,0.0,0.0,0.0,3,14%,55%,30%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM4,SEC0007200_246,96.0,23.9,30.3,0.0,0.0,0.0,3,18%,45%,37%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM4,SEC0007201_264,81.5,72.9,0.0,0.0,0.0,0.0,2,28%,72%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM4,SEC0007202_98,91.2,88.6,0.0,0.0,83.6,0.0,3,23%,45%,0%,0%,32%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM4,SEC0007204_285,75.7,53.6,0.0,0.0,0.0,0.0,2,27%,73%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM4,SEC0007205_396,73.8,75.8,0.0,0.0,0.0,0.0,2,19%,81%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM4,SEC0007206_229,79.0,71.3,0.0,0.0,77.5,0.0,3,25%,47%,0%,0%,28%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM4,SEC0007212_297,78.6,72.8,0.0,0.0,0.0,0.0,2,24%,76%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM10,SEC0007217_27,76.5,68.2,0.0,0.0,0.0,0.0,2,21%,79%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,1
LSM10,SEC0007218_119,73.9,48.1,0.0,0.0,0.0,0.0,2,34%,66%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM10,SEC0007221_316,78.8,83.5,0.0,0.0,0.0,0.0,2,22%,78%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM10,SEC0007221_403,85.0,86.8,0.0,0.0,0.0,0.0,2,27%,73%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,1
LSM10,SEC0007221_408,96.2,90.8,0.0,0.0,0.0,0.0,2,45%,55%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,11
LSM10,SEC0007221_445,87.8,71.5,0.0,0.0,0.0,0.0,2,15%,85%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM10,SEC0007222_303,76.9,63.0,0.0,0.0,0.0,76.6,3,21%,46%,0%,0%,0%,33%,MCMC,3,ci_pwrOpt_Same,2
LSM10,SEC0007224_158,75.8,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,2
LSM10,SEC0007224_243,95.8,72.7,56.9,0.0,0.0,0.0,3,37%,39%,24%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,4
LSM10,SEC0007224_43,89.0,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM10,SEC0007225_68,97.9,98.2,0.0,0.0,0.0,0.0,2,20%,80%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,14
LSM6,SEC0007228_60,75.5,62.3,0.0,0.0,0.0,0.0,2,41%,59%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_OneHalf,1
LSM6,SEC0007230_2,71.4,36.5,0.0,0.0,0.0,0.0,2,24%,76%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM6,SEC0007231_332,70.2,70.1,75.1,0.0,0.0,0.0,3,25%,49%,26%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM6,SEC0007231_4,74.6,64.9,0.0,0.0,0.0,0.0,2,21%,79%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_OneHalf,1
LSM6,SEC0007231_74,74.2,57.4,0.0,0.0,0.0,0.0,2,54%,46%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_OneHalf,1
LSM6,SEC0007232_337,71.9,62.6,0.0,0.0,0.0,0.0,2,39%,61%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM6,SEC0007238_120,79.7,41.1,0.0,0.0,0.0,0.0,2,18%,82%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,1
LSM6,SEC0007238_401,75.4,30.4,0.0,0.0,0.0,0.0,2,22%,78%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_OneHalf,1
LSM6,SEC0007238_442,72.6,45.3,0.0,0.0,0.0,0.0,2,17%,83%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM6,SEC0007239_348,75.9,73.5,88.5,0.0,0.0,0.0,3,21%,50%,30%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,1
LSM6,SEC0007239_361,70.3,68.0,53.6,0.0,0.0,0.0,3,17%,50%,33%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,1
LSM6,SEC0007240_45,74.7,78.3,85.4,0.0,0.0,0.0,3,21%,52%,27%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM6,SEC0007241_267,83.9,73.4,70.5,0.0,0.0,0.0,3,16%,51%,33%,0%,0%,0%,MCMC,3,ci_pwrOpt_Half,3
LSM6,SEC0007241_80,78.3,36.9,0.0,0.0,0.0,0.0,2,22%,78%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM6,SEC0007246_178,79.8,74.5,0.0,0.0,73.8,0.0,3,21%,49%,0%,0%,29%,0%,MCMC,2,ci_pwrOpt_Half,4
LSM6,SEC0007250_133,82.2,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,2
LSM6,SEC0007250_14,70.5,67.9,0.0,0.0,0.0,0.0,2,18%,82%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM6,SEC0007250_281,98.8,98.1,98.3,0.0,0.0,0.0,3,18%,49%,33%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,14
LSM6,SEC0007250_355,78.7,84.6,85.8,0.0,0.0,0.0,3,20%,44%,36%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,2
LSM6,SEC0007250_448,76.2,81.7,0.0,0.0,0.0,0.0,2,21%,79%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,1
LSM5,SEC0007253_134,72.3,86.3,61.8,0.0,0.0,0.0,3,14%,56%,31%,0%,0%,0%,MCMC,3,ci_pwrOpt_Half,1
LSM5,SEC0007260_258,86.7,73.6,0.0,0.0,0.0,0.0,2,19%,81%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM1,SEC0007263_293,86.9,85.2,0.0,0.0,0.0,0.0,2,19%,81%,0%,0%,0%,0%,MCMC,3,ci_pwrOpt_Same,3
LSM1,SEC0007265_381,96.3,58.3,0.0,0.0,0.0,0.0,2,18%,82%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM1,SEC0007271_410,83.5,59.6,62.6,0.0,0.0,0.0,3,19%,48%,33%,0%,0%,0%,MCMC,3,ci_pwrOpt_Same,1
