lsm,enb_PCI,900M_max_prb,1.8G_max_prb,1.8H_max_prb,1.8E_max_prb,2.1E_max_prb,2.1G_max_prb,fa,900M_rrc_rate,1.8G_rrc_rate,1.8H_rrc_rate,1.8E_rrc_rate,2.1E_rrc_rate,2.1G_rrc_rate,type_MCMC,ru,RS_POWER,count
LSM10,SEC0009224_351,81.8,43.2,0.0,0.0,0.0,0.0,2,27%,73%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM10,SEC0009225_32,94.5,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,4
LSM10,SEC0009225_379,89.4,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM10,SEC0009225_429,83.5,81.3,0.0,0.0,0.0,0.0,2,24%,76%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM10,SEC0009225_431,94.3,84.2,0.0,0.0,0.0,0.0,2,30%,70%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM6,SEC0009235_193,77.0,82.3,0.0,0.0,0.0,0.0,2,21%,79%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_OneHalf,2
LSM6,SEC0009235_68,81.8,37.5,0.0,0.0,0.0,0.0,2,51%,49%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM6,SEC0009239_382,70.7,58.2,49.4,0.0,0.0,0.0,3,20%,47%,33%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM6,SEC0009240_360,73.2,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,1
LSM6,SEC0009241_56,82.4,88.6,0.0,0.0,0.0,0.0,2,21%,79%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM10,SEC0009249_366,79.2,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM10,SEC0009251_31,79.1,20.7,0.0,0.0,0.0,0.0,2,38%,62%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_OneHalf,1
LSM10,SEC0009251_321,78.8,60.7,0.0,0.0,0.0,0.0,2,43%,57%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM10,SEC0009252_26,71.3,85.7,0.0,0.0,0.0,0.0,2,15%,85%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM10,SEC0009255_74,76.3,13.3,0.0,0.0,0.0,0.0,2,23%,77%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM6,SEC0009261_161,74.8,58.7,0.0,0.0,0.0,45.6,3,21%,52%,0%,0%,0%,27%,MCMC,1,ci_pwrOpt_Same,1
LSM6,SEC0009261_215,74.1,75.6,0.0,0.0,0.0,0.0,2,23%,77%,0%,0%,0%,0%,MCMC,3,ci_pwrOpt_Same,1
LSM6,SEC0009261_23,90.5,52.7,0.0,0.0,0.0,0.0,2,23%,77%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,3
LSM6,SEC0009261_433,74.1,71.6,0.0,0.0,0.0,0.0,2,20%,80%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM6,SEC0009263_0,86.8,86.6,0.0,0.0,0.0,0.0,2,22%,78%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM6,SEC0009263_14,81.9,51.0,0.0,0.0,0.0,0.0,2,65%,35%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM10,SEC0009271_57,76.3,57.5,0.0,0.0,0.0,0.0,2,42%,58%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM10,SEC0009274_355,92.4,57.8,0.0,0.0,0.0,0.0,2,46%,54%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,11
LSM10,SEC0009275_204,93.1,41.8,48.7,0.0,0.0,0.0,3,21%,42%,37%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM10,SEC0009276_300,82.2,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM10,SEC0009279_235,73.6,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,2
LSM10,SEC0009280_213,73.6,62.6,44.3,0.0,0.0,0.0,3,16%,51%,33%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM7,SEC0009289_254,88.5,90.8,0.0,0.0,0.0,0.0,2,24%,76%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,2
LSM7,SEC0009293_231,71.7,50.8,0.0,0.0,0.0,0.0,2,17%,83%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM10,SEC0009298_443,96.1,85.1,0.0,0.0,0.0,0.0,2,20%,80%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_OneHalf,6
LSM10,SEC0009300_307,84.2,46.6,0.0,0.0,0.0,0.0,2,19%,81%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,1
LSM10,SEC0009300_323,93.6,37.1,0.0,0.0,0.0,0.0,2,24%,76%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_OneHalf,3
LSM10,SEC0009300_378,99.0,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM10,SEC0009300_57,95.0,42.9,0.0,0.0,0.0,0.0,2,18%,82%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM6,SEC0009315_287,94.6,86.6,0.0,0.0,0.0,0.0,2,28%,72%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,4
LSM6,SEC0009315_312,96.7,96.9,0.0,0.0,0.0,0.0,2,38%,62%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_OneHalf,3
LSM6,SEC0009315_389,78.7,37.6,0.0,0.0,0.0,0.0,2,68%,32%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,3
LSM6,SEC0009315_430,76.7,35.8,0.0,0.0,0.0,0.0,2,25%,75%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,3
LSM6,SEC0009315_431,70.8,54.0,0.0,0.0,0.0,0.0,2,34%,66%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM6,SEC0009317_237,85.8,85.4,0.0,0.0,0.0,0.0,2,27%,73%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,2
LSM6,SEC0009322_146,93.9,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_OneHalf,3
LSM6,SEC0009322_155,92.4,0.0,69.3,0.0,0.0,0.0,2,60%,0%,40%,0%,0%,0%,MCMC,2,ci_pwrOpt_OneHalf,2
LSM6,SEC0009323_226,73.7,67.2,68.2,0.0,0.0,0.0,3,23%,44%,33%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,3
LSM6,SEC0009324_140,81.5,61.3,0.0,0.0,0.0,53.6,3,27%,52%,0%,0%,0%,22%,MCMC,2,ci_pwrOpt_Half,2
LSM6,SEC0009324_192,78.5,87.8,0.0,0.0,0.0,0.0,2,22%,78%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM6,SEC0009324_321,83.3,81.3,0.0,0.0,0.0,0.0,2,30%,70%,0%,0%,0%,0%,MCMC,3,ci_pwrOpt_Same,5
LSM6,SEC0009326_0,88.8,63.1,0.0,0.0,0.0,0.0,2,44%,56%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_OneHalf,2
LSM6,SEC0009326_289,99.7,94.3,0.0,0.0,0.0,0.0,2,24%,76%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_OneHalf,4
LSM6,SEC0009326_59,99.0,82.8,12.3,0.0,0.0,0.0,3,35%,35%,30%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,4
LSM6,SEC0009326_96,82.0,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM7,SEC0009327_316,76.2,79.5,0.0,0.0,0.0,0.0,2,19%,81%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_OneHalf,1
LSM10,SEC0009331_154,75.5,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_OneHalf,1
LSM10,SEC0009331_78,93.9,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,3
LSM10,SEC0009332_326,72.7,55.3,0.0,0.0,0.0,0.0,2,35%,65%,0%,0%,0%,0%,MCMC,3,ci_pwrOpt_Half,1
LSM10,SEC0009332_389,72.8,56.7,58.1,0.0,0.0,0.0,3,19%,52%,29%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,1
LSM10,SEC0009332_403,74.6,52.0,0.0,0.0,0.0,0.0,2,32%,68%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,1
LSM10,SEC0009332_432,88.7,87.6,0.0,0.0,0.0,0.0,2,35%,65%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,6
LSM7,SEC0009334_107,70.7,52.3,48.3,0.0,0.0,0.0,3,24%,51%,25%,0%,0%,0%,MCMC,2,ci_pwrOpt_OneHalf,1
LSM7,SEC0009335_274,82.4,54.8,0.0,0.0,0.0,0.0,2,22%,78%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM7,SEC0009337_318,78.8,64.4,0.0,0.0,0.0,0.0,2,27%,73%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM10,SEC0009343_25,72.0,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_OneHalf,1
LSM10,SEC0009345_424,76.6,74.9,0.0,0.0,0.0,0.0,2,34%,66%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM10,SEC0009350_120,91.4,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM10,SEC0009350_207,85.7,73.0,0.0,0.0,0.0,0.0,2,47%,53%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM10,SEC0009350_367,90.9,97.5,0.0,0.0,0.0,0.0,2,48%,52%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,3
LSM4,SEC0009360_212,85.2,59.1,0.0,0.0,0.0,0.0,2,22%,78%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,2
LSM4,SEC0009363_196,82.2,53.1,60.0,0.0,0.0,0.0,3,40%,34%,26%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM4,SEC0009364_59,72.2,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,2
LSM10,SEC0009407_125,82.0,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_OneHalf,1
LSM10,SEC0009408_173,87.8,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM10,SEC0009408_182,90.3,0.0,83.5,0.0,0.0,0.0,2,35%,0%,65%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM10,SEC0009409_250,78.6,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM10,SEC0009409_338,78.4,43.9,0.0,0.0,0.0,0.0,2,27%,73%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_OneHalf,1
LSM9,SEC0009549_93,99.2,97.0,82.2,0.0,81.0,0.0,4,15%,46%,19%,0%,21%,0%,MCMC,1,ci_pwrOpt_Same,12
LSM10,SEC0009598_418,84.1,84.2,0.0,0.0,0.0,0.0,2,25%,75%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_OneHalf,4
LSM6,SEC0009606_227,73.2,50.1,58.7,0.0,0.0,0.0,3,49%,30%,21%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,3
LSM9,SEC0009664_153,85.5,35.8,36.6,0.0,0.0,0.0,3,18%,52%,31%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM1,SEC0009689_328,88.3,67.2,62.5,0.0,0.0,0.0,3,7%,22%,71%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM9,SEC0009692_298,80.1,66.8,68.9,0.0,0.0,0.0,3,31%,37%,32%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM3,SEC0009724_246,73.1,69.9,0.0,0.0,0.0,0.0,2,21%,79%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM2,SEC0009780_311,77.2,86.0,88.6,0.0,82.7,0.0,4,18%,48%,20%,0%,14%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM2,SEC0009781_69,71.0,64.0,72.7,0.0,69.1,0.0,4,14%,40%,27%,0%,19%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM3,SEC0009785_363,73.4,68.0,61.9,0.0,60.1,0.0,4,22%,28%,26%,0%,25%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM3,SEC0009787_170,98.7,96.0,80.7,0.0,0.0,0.0,3,8%,64%,28%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM4,SEC0009788_172,96.6,89.3,81.3,0.0,88.4,0.0,4,18%,31%,26%,0%,25%,0%,MCMC,2,ci_pwrOpt_Same,6
LSM4,SEC0009790_347,78.6,79.4,70.9,0.0,66.7,0.0,4,14%,39%,27%,0%,20%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM6,SEC0009792_136,79.6,59.3,0.0,0.0,85.7,0.0,3,24%,48%,0%,0%,28%,0%,MCMC,3,ci_pwrOpt_Half,3
LSM5,SEC0009793_247,99.7,97.4,99.0,0.0,0.0,0.0,3,24%,47%,29%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,15
LSM1,SEC0009797_60,84.8,81.0,68.5,0.0,0.0,0.0,3,21%,46%,33%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM3,SEC0009799_12,77.5,53.9,0.0,0.0,0.0,0.0,2,31%,69%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM10,SEC0009804_267,91.4,53.5,49.9,0.0,0.0,0.0,3,19%,52%,29%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,5
LSM10,SEC0009804_276,80.7,90.1,82.5,0.0,0.0,0.0,3,24%,51%,26%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,5
LSM10,SEC0009804_326,82.4,38.4,0.0,0.0,0.0,0.0,2,51%,49%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,7
LSM6,SEC0009874_260,91.5,98.2,0.0,0.0,0.0,0.0,2,26%,74%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM6,SEC0009874_329,88.5,92.7,0.0,0.0,0.0,0.0,2,17%,83%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_OneHalf,2
LSM3,SEC0009893_381,76.1,69.6,0.0,0.0,60.1,0.0,3,26%,49%,0%,0%,25%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM5,SEC0009993_367,77.7,69.1,0.0,0.0,53.6,0.0,3,23%,58%,0%,0%,19%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM3,SEC0009995_227,83.2,77.3,75.5,0.0,68.1,0.0,4,20%,34%,25%,0%,21%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM9,SEC0010001_245,76.8,81.9,0.0,0.0,65.7,0.0,3,21%,46%,0%,0%,34%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM2,SEC0010004_104,85.7,70.1,57.4,0.0,82.6,0.0,4,13%,45%,26%,0%,15%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM7,SEC0010011_112,70.4,62.0,0.0,0.0,72.1,0.0,3,19%,51%,0%,0%,30%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM7,SEC0010011_143,89.7,62.4,48.5,0.0,70.4,0.0,4,15%,35%,25%,0%,25%,0%,MCMC,1,ci_pwrOpt_Half,15
LSM7,SEC0010011_255,75.5,81.0,69.2,0.0,0.0,0.0,3,17%,49%,34%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM7,SEC0010013_38,88.1,90.7,57.0,0.0,69.5,0.0,4,22%,30%,20%,0%,28%,0%,MCMC,2,ci_pwrOpt_Same,6
LSM6,SEC0010014_259,71.9,44.4,41.5,0.0,44.5,0.0,4,14%,33%,28%,0%,25%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM4,SEC0010035_288,72.6,59.7,0.0,0.0,0.0,0.0,2,21%,79%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM6,SEC0010036_12,84.7,56.9,66.3,0.0,0.0,0.0,3,19%,50%,31%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,1
LSM4,SEC0010038_441,74.0,74.1,67.2,0.0,64.9,0.0,4,15%,34%,28%,0%,24%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM5,SEC0010040_423,78.9,87.3,0.0,0.0,0.0,0.0,2,20%,80%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM1,SEC0010063_349,73.0,67.7,53.4,0.0,68.3,0.0,4,18%,34%,25%,0%,22%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM1,SEC0010066_75,77.9,74.7,77.2,0.0,72.3,0.0,4,15%,36%,23%,0%,26%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM1,SEC0010067_319,79.2,78.1,0.0,0.0,0.0,0.0,2,19%,81%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM1,SEC0010069_54,76.6,72.4,67.6,0.0,52.7,0.0,4,19%,33%,25%,0%,23%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM1,SEC0010074_139,73.4,62.9,66.7,0.0,60.2,0.0,4,12%,29%,37%,0%,23%,0%,MCMC,3,ci_pwrOpt_Same,1
LSM1,SEC0010074_162,80.9,79.9,0.0,0.0,82.0,0.0,3,21%,54%,0%,0%,25%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM1,SEC0010147_295,74.9,74.2,72.1,0.0,0.0,0.0,3,17%,46%,37%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM1,SEC0010148_189,82.2,59.7,0.0,0.0,45.9,0.0,3,22%,57%,0%,0%,21%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM1,SEC0010148_409,71.0,31.6,0.0,0.0,0.0,0.0,2,55%,45%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM1,SEC0010148_444,85.2,34.0,0.0,0.0,0.0,0.0,2,34%,66%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM1,SEC0010149_199,77.6,69.0,0.0,0.0,0.0,0.0,2,25%,75%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM1,SEC0010155_97,71.2,55.9,52.6,0.0,0.0,0.0,3,20%,49%,31%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM1,SEC0010156_357,75.5,63.2,0.0,0.0,0.0,0.0,2,24%,76%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM1,SEC0010156_73,70.4,57.6,66.8,0.0,0.0,0.0,3,8%,23%,69%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM1,SEC0010158_259,72.2,75.1,44.6,0.0,0.0,0.0,3,17%,56%,27%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM1,SEC0010158_436,71.2,59.2,77.8,0.0,0.0,0.0,3,17%,39%,44%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM1,SEC0010168_299,83.5,74.2,71.0,0.0,0.0,0.0,3,17%,50%,32%,0%,0%,0%,MCMC,3,ci_pwrOpt_Same,2
LSM1,SEC0010169_234,70.5,64.3,0.0,0.0,0.0,0.0,2,43%,57%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM1,SEC0010173_338,89.5,82.6,83.7,0.0,0.0,0.0,3,20%,48%,31%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM3,SEC0010176_299,70.8,51.4,0.0,0.0,0.0,0.0,2,33%,67%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM9,SEC0010179_149,79.3,61.9,0.0,0.0,0.0,0.0,2,27%,73%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM9,SEC0010179_165,74.9,17.0,18.0,0.0,0.0,0.0,3,55%,26%,19%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM6,SEC0010181_428,74.7,74.6,0.0,0.0,0.0,0.0,2,19%,81%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,1
LSM7,SEC0010184_107,75.8,83.2,0.0,0.0,0.0,0.0,2,18%,82%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM4,SEC0010202_277,99.9,97.6,99.6,0.0,0.0,0.0,3,46%,30%,24%,0%,0%,0%,MCMC,1,ci_pwrOpt_OneHalf,7
LSM3,SEC0010203_142,85.9,66.7,0.0,0.0,0.0,0.0,2,22%,78%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM7,SEC0010205_120,99.9,70.9,70.5,0.0,0.0,0.0,3,28%,43%,28%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,15
LSM5,SEC0010206_280,81.4,72.6,0.0,0.0,0.0,0.0,2,20%,80%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM3,SEC0010215_157,76.5,74.0,0.0,0.0,66.0,0.0,3,22%,52%,0%,0%,26%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM5,SEC0010217_245,73.8,72.0,69.5,0.0,0.0,0.0,3,22%,43%,35%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM5,SEC0010217_391,77.7,60.7,61.2,0.0,0.0,0.0,3,18%,50%,32%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM5,SEC0010218_85,85.3,85.9,0.0,0.0,0.0,0.0,2,22%,78%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,2
LSM9,SEC0010219_199,76.2,65.0,0.0,0.0,48.8,0.0,3,14%,47%,0%,0%,38%,0%,MCMC,2,ci_pwrOpt_Same,1
LSM4,SEC0010223_255,75.6,77.3,0.0,0.0,0.0,0.0,2,19%,81%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM4,SEC0010223_329,78.6,58.0,66.8,0.0,53.6,0.0,4,21%,28%,28%,0%,23%,0%,MCMC,2,ci_pwrOpt_Same,2
LSM4,SEC0010223_412,74.1,65.0,0.0,0.0,55.8,0.0,3,14%,66%,0%,0%,20%,0%,MCMC,1,ci_pwrOpt_Same,1
LSM6,SEC0010290_162,99.9,97.7,0.0,0.0,0.0,0.0,2,30%,70%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,6
LSM7,SEC0010291_234,79.4,59.3,57.9,0.0,0.0,0.0,3,26%,45%,30%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,1
LSM7,SEC0010291_382,87.7,93.5,91.4,0.0,0.0,0.0,3,22%,48%,31%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,6
LSM7,SEC0010291_99,99.9,86.1,90.9,0.0,0.0,0.0,3,24%,43%,33%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,15
LSM1,SEC0010295_380,73.7,72.8,0.0,0.0,0.0,0.0,2,26%,74%,0%,0%,0%,0%,MCMC,3,ci_pwrOpt_Half,2
LSM1,SEC0010295_85,75.3,74.3,0.0,0.0,0.0,0.0,2,19%,81%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,1
LSM6,SEC0010308_199,76.8,27.2,40.6,0.0,0.0,0.0,3,28%,40%,31%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,1
LSM6,SEC0010370_426,80.2,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,2
LSM5,SEC0010372_171,97.8,0.0,0.0,0.0,0.0,0.0,1,100%,0%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,3
LSM5,SEC0010372_44,98.2,86.2,0.0,0.0,0.0,0.0,2,18%,82%,0%,0%,0%,0%,n2RxAntCnt,1,ci_pwrOpt_Half,3
LSM7,SEC0010380_270,78.2,52.4,52.3,0.0,0.0,0.0,3,29%,46%,25%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,1
LSM7,SEC0010380_45,72.9,61.2,44.4,0.0,0.0,0.0,3,47%,46%,7%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,1
LSM9,SEC0010393_126,83.1,67.9,27.1,0.0,0.0,0.0,3,34%,41%,25%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,2
LSM9,SEC0010500_416,73.9,42.8,71.4,0.0,0.0,0.0,3,26%,39%,35%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,2
LSM1,SEC0010502_160,75.7,48.8,46.7,0.0,0.0,0.0,3,72%,26%,2%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,1
LSM14,SEC0010581_11,72.9,83.5,0.0,0.0,0.0,0.0,2,19%,81%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,1
LSM14,SEC0010584_221,72.4,45.3,19.0,0.0,0.0,0.0,3,49%,51%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,1
LSM14,SEC0010590_165,71.5,21.8,39.3,0.0,0.0,0.0,3,51%,49%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,1
LSM14,SEC0010590_244,84.2,94.0,90.4,0.0,0.0,0.0,3,41%,59%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,1
LSM14,SEC0010590_323,97.6,97.1,93.6,0.0,0.0,0.0,3,45%,55%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,3
LSM14,SEC0010604_272,81.5,37.8,29.3,0.0,0.0,0.0,3,27%,73%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,2
LSM14,SEC0010610_252,99.2,9.0,68.3,0.0,0.0,0.0,3,55%,45%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,3
LSM14,SEC0010611_401,99.3,62.3,47.0,0.0,0.0,0.0,3,24%,76%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Half,4
LSM14,SEC0010611_443,90.1,30.9,13.6,0.0,0.0,0.0,3,26%,74%,0%,0%,0%,0%,MCMC,1,ci_pwrOpt_Same,3
LSM14,SEC0010620_454,87.7,29.4,24.6,0.0,0.0,0.0,3,48%,52%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Same,3
LSM14,SEC0010632_341,72.6,46.7,32.0,0.0,0.0,0.0,3,30%,70%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,1
LSM14,SEC0010633_422,71.1,75.9,51.5,0.0,0.0,0.0,3,30%,70%,0%,0%,0%,0%,MCMC,2,ci_pwrOpt_Half,1
